Student,Advisor
"David W. Cheung","Nikos Mamoulis"
"Albert Bifet","Bernhard Pfahringer"
"Xiaoyun Wu","Philip S. Yu"
"Philippe Fournier-Viger","Philip S. Yu"
"Deng Cai","Jiawei Han"
"Duo Zhang","Jiawei Han"
"Binbin Lin","Jiawei Han"
"Christopher R. Palmer","Christos Faloutsos"
"Binbin Lin","Jieping Ye"
"Chung-Min Chen","Ming-Syan Chen"
"Shiwei Tang","Jian Pei"
"Mingrui Wu","Bernhard Schölkopf"
"Gökhan H. Bakir","Bernhard Schölkopf"
"Jianke Zhu","Rong Jin"
"Xiaoyong Chai","Qiang Yang 0001"
"Sinno Jialin Pan","Qiang Yang 0001"
"Jiwoon Jeon","W. Bruce Croft"
"Sinead Williamson","Eric P. Xing"
"Andrew Gordon Wilson","Zoubin Ghahramani"
"Fang Wen","Xiaoou Tang"
"Oriol Vinyals","Trevor Darrell"
"Louis-Philippe Morency","Trevor Darrell"
"Zhengzhang Chen","Vipin Kumar"
"Sergey Kirshner","Padhraic Smyth"
"Keke Cai","Jie Tang"
"Jing Zhang","Jie Tang"
"Duo Zhang","Jie Tang"
"Stéphane Bressan","Beng Chin Ooi"
"Christoph Koch 0001","Johannes Gehrke"
"Silviu Cucerzan","Ryen W. White"
"Jerry Kiernan","Rakesh Agrawal"
"Robert Fergus","Pietro Perona"
"Robert Fergus","Andrew Zisserman"
"Xin Geng","Kotagiri Ramamohanarao"
"Yan Li","Takeo Kanade"
"Wee Siong Ng","Kian-Lee Tan"
"Shuang-Hong Yang","Hongyuan Zha"
"Yinghui Wu","Xifeng Yan"
"Paolo Favaro","Stefano Soatto"
"Adam Silberstein","Raghu Ramakrishnan"
"Shuo Chen","Thorsten Joachims"
"Daxin Jiang","Hang Li"
"Robert Krovetz","C. Lee Giles"
"Nicol N. Schraudolph","Terrence J. Sejnowski"
"Lubor Ladicky","Marc Pollefeys"
"Jean-Sébastien Franco","Marc Pollefeys"
"Changchang Wu","Marc Pollefeys"
"Shuo Chen","Changshui Zhang"
"Shiming Xiang","Changshui Zhang"
"Mingxuan Yuan","Lei Chen 0002"
"Yadong Mu","Shih-Fu Chang"
"Josiane Mothe","Mark Sanderson"
"Eric SanJuan","Mark Sanderson"
"Xiaoyong Chai","Jeffrey F. Naughton"
"Gang Luo","Jeffrey F. Naughton"
"Theodoros Lappas","Dimitrios Gunopulos"
"Li-Ping Liu","Thomas G. Dietterich"
"Yasin Abbasi-Yadkori","Csaba Szepesvári"
"Bing Tian Dai","Anthony K. H. Tung"
"Erik Vee","Ravi Kumar"
"Shaojun Wang","Dale Schuurmans"
"Li Cheng","Dale Schuurmans"
"Mark Baillie","Leif Azzopardi"
"Li Chen","Elke A. Rundensteiner"
"Harumi A. Kuno","Elke A. Rundensteiner"
"Nikos A. Lorentzos","Christian S. Jensen"
"Ulf Brefeld","Tobias Scheffer"
"David Newman","Max Welling"
"Arthur U. Asuncion","Max Welling"
"Mikio L. Braun","Joachim M. Buhmann"
"Juan Carlos Niebles","Fei-Fei Li"
"David Liu","Tsuhan Chen"
"Fan Li","Yiming Yang"
"Yingyu Liang","Le Song"
"Jacek Gwizdka","Nicholas J. Belkin"
"Noah D. Goodman","Joshua B. Tenenbaum"
"Nemanja Petrovic","Brendan J. Frey"
"Yiming Ma","Wynne Hsu"
"Daniel J. Abadi","Samuel Madden"
"Robert Fergus","Antonio Torralba"
"Michael J. Cafarella","Alon Y. Halevy"
"Hiroshi Kawasaki","Katsushi Ikeuchi"
"Zhicheng Dou","Tetsuya Sakai"
"Makoto P. Kato","Tetsuya Sakai"
"Prashant J. Shenoy","Krithi Ramamritham"
"Jonathan Huang","Carlos Guestrin"
"Assaf Zomet","Yair Weiss"
"Li Cheng","S. V. N. Vishwanathan"
"Choon Hui Teo","S. V. N. Vishwanathan"
"Karteek Alahari","Philip H. S. Torr"
"Josh Attenberg","Foster J. Provost"
"Wen-Syan Li","Divyakant Agrawal"
"Songting Chen","Divyakant Agrawal"
"Toby Sharp","Carsten Rother"
"Chuanren Liu","Yong Ge"
"Hyungsul Kim","Yizhou Sun"
"Shantanu Godbole","Sunita Sarawagi"
"Ragini Verma","Peng Wang"
"Jiwen Lu","Gang Wang"
"Ming-Chien Shan","Umeshwar Dayal"
"Kevin Wilkinson","Umeshwar Dayal"
"Yanxi Liu","Robert T. Collins"
"Philipp Kranen","Bernhard Pfahringer"
"Bo Pang","Vanja Josifovski"
"Bhavana Bharat Dalvi","Jamie Callan"
"Ekaterini Ioannou","Themis Palpanas"
"Hong Chen","Song Chun Zhu"
"Qingshan Jiang","Joshua Zhexue Huang"
"Toby Sharp","Andrew W. Fitzgibbon"
"Alex Graves","Jürgen Schmidhuber"
"Sailesh Krishnamurthy","Hamid Pirahesh"
"Alexander S. Szalay","Jim Gray"
"Xin Geng","Christopher Leckie"
"Alessandro Lazaric","Mohammad Ghavamzadeh"
"Marc Plantevit","Jean-François Boulicaut"
"Paul Mineiro","Javier R. Movellan"
"Keke Cai","Chun Chen"
"Ritwik Kumar","Baba C. Vemuri"
"Javad Azimi","Alan Fern"
"Frank Stephan","Sanjay Jain"
"Kaushik Sinha","Mikhail Belkin"
"Chun Kit Chui","David W. Cheung"
"Jaideep Vaidya","Chris Clifton"
"Cewu Lu","Chi-Keung Tang"
"Philipp Kranen","Albert Bifet"
"Keke Cai","Jiajun Bu"
"Xiaoyong Chai","AnHai Doan"
"Sudipto Das","Amr El Abbadi"
"Sahand Negahban","Alekh Agarwal"
"Xiaodan Song","Yun Chi"
"Jing Yuan","Xing Xie"
"Sailesh Krishnamurthy","C. Mohan"
"Changyou Chen","Wray L. Buntine"
"Balaji Krishnapuram","R. Bharat Rao"
"Changchang Wu","Jan-Michael Frahm"
"Jie Luo","Francesco Orabona"
"Ying Zhu","Visvanathan Ramesh"
"Mitch Cherniack","Stanley B. Zdonik"
"David Liu","Shaohua Kevin Zhou"
"Eric SanJuan","Ralf Schenkel"
"Rimma V. Nehme","Nicolas Bruno"
"René Müller","Gustavo Alonso"
"Eric SanJuan","Falk Scholer"
"Peter H. Tu","Ting Yu"
"Nils Krahnstoever","Ting Yu"
"Lukasz Golab","Theodore Johnson"
"Freddy Chong Tat Chua","Hady Wirawan Lauw"
"Jeffrey Dean","Marc'Aurelio Ranzato"
"Sachindra Joshi","Indrajit Bhattacharya"
"Jérémy Besson","Céline Robardet"
"Haibo Hu","Byron Choi"
"Liang Xiong","Barnabás Póczos"
"Faustino J. Gomez","Yi Sun"
"Emile Richard","Nicolas Vayatis"
"Ganesh Sundaramoorthi","Anthony J. Yezzi"
"Jia Deng","Alexander C. Berg"
"Alain Rakotomamonjy","Yves Grandvalet"
"Vasudeva Varma","Manish Gupta"
"Mark Baillie","Ian Ruthven"
"Takeaki Uno","Hiroki Arimura"
"Wen-Chi Hou","Gultekin Özsoyoglu"
"Stefan Berchtold","Daniel A. Keim"
"Li Cheng","Shaojun Wang"
"Sachindra Joshi","Shantanu Godbole"
"Richard Souvenir","Robert Pless"
"Zhijun Yin","Liangliang Cao"
"Pankaj K. Agarwal","Jun Yang 0001"
"Jonathan Taylor","Jamie Shotton"
"Ragini Verma","Christos Davatzikos"
"Xiaodan Song","Ching-Yung Lin"
"Sophie Denève","Alexandre Pouget"
"Weining Qian","Wen Jin"
"Chun Kit Chui","Sau Dan Lee"
"Zhengzhang Chen","Nagiza F. Samatova"
"Björn Stenger","Tae-Kyun Kim"
"Thomas B. Moeslund","Sergio Escalera"
"Xin Geng","Liang Wang 0001"
"Lawrence D. Jackel","John S. Denker"
"Deqing Sun","Hanspeter Pfister"
"Margarita Osadchy","Daniel Keren"
"Pável Calado","Berthier A. Ribeiro-Neto"
"Zi Yang","Zhong Su"
"Yin Zhang","Yueting Zhuang"
"Jesin Zakaria","Thanawin Rakthanmanon"
"Bing Hu 0001","Thanawin Rakthanmanon"
"Chotirat (Ann) Ratanamahatana","Stefano Lonardi"
"Erik Vee","Sergei Vassilvitskii"
"Suju Rajan","Kunal Punera"
"Guandong Xu","Zhihai Wang"
"Ou Wu","Bing Li"
"Binbin Lin","Ming Ji"
"Chun Kit Chui","Kevin Y. Yip"
"Ou Wu","Jun Gao"
"Junjie Yan","Dong Yi"
"Luis Leopoldo Perez","Zografoula Vagena"
"Shizhong Liao","Yong Liu"
"Jae-Gil Lee","Xiaolei Li"
"Fei Wang 0002","Tanveer Fathima Syeda-Mahmood"
"Marek Petrik","Shlomo Zilberstein"
"Thomas Liebig","Michael May"
"Masahiro Kimura","Kouzou Ohara"
"Geremy Heitz","Gal Elidan"
"Niall M. Adams","David J. Hand"
"Guo-Jun Qi","Thomas S. Huang"
"Gustavo Alonso","Donald Kossmann"
"Tie-Yan Liu","Hang Li"
"Jie Yin","Qiang Yang 0001"
"Sethuraman Panchanathan","Wei Fan"
"Srujana Merugu","Joydeep Ghosh"
"Jianying Hu","Jimeng Sun"
"Jianying Hu","Fei Wang 0001"
"Wei Lu","Laks V. S. Lakshmanan"
"Panos Kalnis","Dimitris Papadias"
"Peter V. Gehler","Bernt Schiele"
"Hideo Joho","Joemon M. Jose"
"Brian Curless","Richard Szeliski"
"Mark Craven","Jude W. Shavlik"
"Kanishka Bhaduri","Hillol Kargupta"
"Quan Yuan","Stan Sclaroff"
"Yuchen Zhang","Martin J. Wainwright"
"Ravi Janardan","Haesun Park"
"Sriraam Natarajan","Kristian Kersting"
"Alan Fern","Prasad Tadepalli"
"Aditya Krishna Menon","Charles Elkan"
"Xiangliang Zhang","Michèle Sebag"
"Betty Salzberg","David B. Lomet"
"Balaji Padmanabhan","Alexander Tuzhilin"
"Jingren Zhou","Per-Åke Larson"
"Karthik Sridharan","Alexander Rakhlin"
"Efim B. Kinber","Sanjay Jain"
"Stefan Manegold","Martin L. Kersten"
"Dahua Lin","Xiaoou Tang"
"Yisong Yue","Thorsten Joachims"
"Sanjiv Kumar","Shih-Fu Chang"
"Barnabás Póczos","Jeff G. Schneider"
"John C. Duchi","Martin J. Wainwright"
"Christian Theobalt","Hans-Peter Seidel"
"Bodo Rosenhahn","Hans-Peter Seidel"
"Mao Ye","Ruigang Yang"
"Byron Choi","Sourav S. Bhowmick"
"Bo Liu","Philip S. Yu"
"Krisztian Balog","Maarten de Rijke"
"Andrew Trotman","Jaap Kamps"
"Bo Liu","Longbing Cao"
"Magdalena Balazinska","Dan Suciu"
"Hanghang Tong","Christos Faloutsos"
"Hong Cheng","Jiawei Han"
"Hongbo Deng","Jiawei Han"
"Kun Zhang","Wei Fan"
"Deepak S. Turaga","Wei Fan"
"Lei Yu","Huan Liu"
"Karsten Steinhaeuser","Vipin Kumar"
"Roland Memisevic","Geoffrey E. Hinton"
"Ashwin Machanavajjhala","Johannes Gehrke"
"Samuel Ieong","Rakesh Agrawal"
"Zhaohui Zheng","Hongyuan Zha"
"Guillaume Obozinski","Francis R. Bach"
"Charless C. Fowlkes","Jitendra Malik"
"Lubomir D. Bourdev","Jitendra Malik"
"Xiaohui Shen","Ying Wu"
"Ashok Veeraraghavan","Rama Chellappa"
"Wei Han","Ling Liu"
"Jeffrey Chan","Wei Liu"
"Isaac Cohen","Gérard G. Medioni"
"Can Wang","Longbing Cao"
"Hongsheng Li","Xiaogang Wang"
"Kai-Wei Chang","Dan Roth"
"Yan Zhou","Bhavani M. Thuraisingham"
"William Webber","Justin Zobel"
"Afshin Rostamizadeh","Corinna Cortes"
"William Webber","Alistair Moffat"
"Michele Berlingerio","Fosca Giannotti"
"Hengshu Zhu","Yong Ge"
"Tomer Koren","Elad Hazan"
"Shipeng Li","Xian-Sheng Hua"
"Manolis Koubarakis","Timos K. Sellis"
"Atsuyoshi Nakamura","Naoki Abe"
"Yunming Ye","Joshua Zhexue Huang"
"Zaiqing Nie","Bo Zhang"
"Aleksandar Lazarevic","Zoran Obradovic"
"Tomer Koren","Ofer Dekel"
"Yannis Kotidis","Nick Roussopoulos"
"Tomoharu Iwata","Naonori Ueda"
"Xiaohui Yu","Aijun An"
"Li Wan","Wee Keong Ng"
"José Hernández-Orallo","Peter A. Flach"
"Yuri Breitbart","Abraham Silberschatz"
"Nicholas Jing Yuan","Yong Rui"
"Yiping Ke","Wilfred Ng"
"Oncel Tuzel","Peter Meer"
"Baback Moghaddam","Alex Pentland"
"Nemanja Djuric","Slobodan Vucetic"
"Bogdan Georgescu","Shaohua Kevin Zhou"
"Antoine Doucet","Ralf Schenkel"
"Kai-Wei Chang","Chih-Jen Lin"
"Liefeng Bo","Xiaofeng Ren"
"Le Lu","Gregory D. Hager"
"Ismail Sengör Altingövde","Fazli Can"
"Henry A. Rowley","Shumeet Baluja"
"Junzhou Huang","Chen Chen"
"Samuel Ieong","Nina Mishra"
"Lei Li","Christos Faloutsos"
"Zhongfei (Mark) Zhang","Philip S. Yu"
"Jaime Teevan","Susan T. Dumais"
"Nebojsa Jojic","Brendan J. Frey"
"Jörg Sander","Hans-Peter Kriegel"
"Feiping Nie","Chris H. Q. Ding"
"Hua Wang","Chris H. Q. Ding"
"Brian Kulis","Inderjit S. Dhillon"
"Zaïd Harchaoui","Cordelia Schmid"
"Nan Du","Le Song"
"Bharath K. Sriperumbudur","Bernhard Schölkopf"
"Bin Zhao","Eric P. Xing"
"Ross B. Girshick","Trevor Darrell"
"Dmitry Pavlov","Padhraic Smyth"
"Sai Wu","Beng Chin Ooi"
"Ofer Dekel","Yoram Singer"
"Venkatesh Ganti","Surajit Chaudhuri"
"Ion Stoica","Michael J. Franklin"
"Qifa Ke","Takeo Kanade"
"Subhransu Maji","Jitendra Malik"
"Ross B. Girshick","Jitendra Malik"
"Duen Horng Chau","Hanghang Tong"
"Adriano Veloso","Srinivasan Parthasarathy"
"Martin Theobald","Jaap Kamps"
"Yang Wang","Xuemin Lin"
"Linli Xu","Dale Schuurmans"
"Bin Zhao","Fei Wang 0001"
"Matthew B. Blaschko","Arthur Gretton"
"Anat Levin","Yair Weiss"
"M. Pawan Kumar","Philip H. S. Torr"
"Adriano Veloso","Marcos André Gonçalves"
"Sau Dan Lee","David Wai-Lok Cheung"
"Martin Theobald","Shlomo Geva"
"Martin Theobald","Andrew Trotman"
"Martin Theobald","Gabriella Kazai"
"Alexander G. Schwing","Tamir Hazan"
"Hui Ji","Cornelia Fermüller"
"David Horn","Eytan Ruppin"
"Alessandro Lazaric","Rémi Munos"
"Yun Chi","Yihong Gong"
"Kai Yu","Volker Tresp"
"Chang-Dong Wang","Philip S. Yu"
"Jialei Wang","Rong Jin"
"Jinxi Xu","W. Bruce Croft"
"James Petterson","Alexander J. Smola"
"Shyamsundar Rajaram","Thomas S. Huang"
"Jilei Tian","Hui Xiong"
"Wei Peng","Chris H. Q. Ding"
"Ying Yang","Xindong Wu"
"Lawrence A. Rowe","Michael Stonebraker"
"Fei Tony Liu","Zhi-Hua Zhou"
"Jiyin He","Maarten de Rijke"
"Mark Steyvers","Padhraic Smyth"
"Arun N. Swami","Rakesh Agrawal"
"Bryan C. Russell","Andrew Zisserman"
"Donovan A. Schneider","David J. DeWitt"
"Antoni B. Chan","Nuno Vasconcelos"
"Wensi Xi","Wei-Ying Ma"
"Weng-Keen Wong","Andrew W. Moore 0001"
"Anthony J. Yezzi","Stefano Soatto"
"Weinan Zhang","Yong Yu"
"Dragomir Anguelov","Daphne Koller"
"Jia Li","C. Lee Giles"
"Steven J. Nowlan","Terrence J. Sejnowski"
"Kira Radinsky","Susan T. Dumais"
"Charles A. Sutton","Andrew McCallum"
"Gaurav Aggarwal","Rama Chellappa"
"Antti Ukkonen","Francesco Bonchi"
"Nan Cao","Jimeng Sun"
"Sharath Pankanti","Anil K. Jain"
"Eric N. Mortensen","Thomas G. Dietterich"
"Qian Yu","Gérard G. Medioni"
"Amir Massoud Farahmand","Csaba Szepesvári"
"Chao Xu 0006","Dacheng Tao"
"Chi-Hoon Lee","Osmar R. Zaïane"
"Buyue Qian","Fei Wang 0001"
"Ryen White","Joemon M. Jose"
"Troy Raeder","Nitesh V. Chawla"
"Jennifer Wortman","Koby Crammer"
"Jun Rao","Kenneth A. Ross"
"Peifeng Yin","Ping Luo"
"Anastasios Tombros","Mounia Lalmas"
"Jennifer Wortman","Michael J. Kearns"
"Kamalika Das","Hillol Kargupta"
"Peer Kröger","Christian Böhm"
"Mark Steyvers","Thomas L. Griffiths"
"Ognjen Arandjelovic","Roberto Cipolla"
"Liadh Kelly","Justin Zobel"
"Hugh E. Williams","Justin Zobel"
"Bryan C. Russell","Antonio Torralba"
"Bennett Wilburn","Yasuyuki Matsushita"
"Feng Pan","Gao Cong"
"Yu-Xiang Wang","Huan Xu"
"Xuan Hong Dang","Raymond T. Ng"
"Qiming Chen","Umeshwar Dayal"
"Yasutaka Furukawa","Steven M. Seitz"
"Wenlin Chen","Kilian Q. Weinberger"
"Chao Xu 0006","Xian-Sheng Hua"
"Panos Vassiliadis","Timos K. Sellis"
"Kurt Driessens","Saso Dzeroski"
"Liping Jing","Joshua Zhexue Huang"
"Jun Luo","Joshua Zhexue Huang"
"Róbert Busa-Fekete","Eyke Hüllermeier"
"Evangelos Kanoulas","Ben Carterette"
"Harris Drucker","Vladimir Vapnik"
"Tom Minka","Thore Graepel"
"Sophie Cluet","Serge Abiteboul"
"Joaquin Quiñonero Candela","Ralf Herbrich"
"Avinava Dubey","Chiranjib Bhattacharyya"
"Khashayar Rohanimanesh","Sridhar Mahadevan"
"Ganesh Ramakrishnan","Soumen Chakrabarti"
"Peifeng Yin","Min Wang"
"Zografoula Vagena","Michail Vlachos"
"Feng Pan","Jiong Yang"
"Qian Yu","Harpreet S. Sawhney"
"Haggai Roitman","David Carmel"
"Guido Moerkotte","Alfons Kemper"
"Jian Huang 0002","Yang Song"
"Erich Schubert","Peer Kröger"
"Alexey Pryakhin","Peer Kröger"
"Hongxun Yao","Wen Gao"
"Yannis Sismanis","Peter J. Haas"
"Alexander Toshev","Kostas Daniilidis"
"Kira Radinsky","Fernando Diaz"
"Shaoxu Song","Xiang Lian"
"Heng Ji","Qi Li"
"Liping Jing","Michael K. Ng"
"Hannes Nickisch","Matthias W. Seeger"
"Zheng-Jun Zha","Guo-Jun Qi"
"Mariano P. Consens","Alberto O. Mendelzon"
"Arun N. Swami","Tomasz Imielinski"
"Tamraparni Dasu","Theodore Johnson"
"Martin Halvey","Paul D. Clough"
"Mauricio A. Hernández","Laura M. Haas"
"Kouzou Ohara","Kazumi Saito"
"Wenke Lee","Philip K. Chan"
"Gaurav Aggarwal","Patrick J. Flynn"
"Peifeng Yin","Mao Ye"
"Eunho Yang","Aurelie C. Lozano"
"Xuan Hong Dang","Ira Assent"
"Alex Beutel","Peng Cui"
"Wangmeng Zuo","Liang Lin"
"Zheng-Jun Zha","Jinhui Tang"
"Ali Jalali","Sujay Sanghavi"
"James Clifford","Ramez Elmasri"
"Chedy Raïssi","Pascal Poncelet"
"Wei-Shi Zheng","Jian-Huang Lai"
"Faisal Kamiran","Xiangliang Zhang"
"Alex Beutel","Shiqiang Yang"
"Chenyang Xu","Jerry L. Prince"
"Yasutaka Furukawa","Brian Curless"
"Yan Tong","Xiaoming Liu 0002"
"Heng Ji","Bo Zhao"
"Yen-Yu Lin","Tyng-Luh Liu"
"Rina Panigrahy","Marc Najork"
"Liadh Kelly","Henning Müller"
"Hakim Hacid","Djamel A. Zighed"
"Altigran Soares da Silva","Alberto H. F. Laender"
"Yusheng Xie","Wei-keng Liao"
"Christoph Sawade","Steffen Bickel"
"Liadh Kelly","David Elsweiler"
"Yannis Sismanis","Berthold Reinwald"
"Liqing Zhang","Andrzej Cichocki"
"Latifur Khan","Jiawei Han"
"Raymond Chi-Wing Wong","Ke Wang"
"Guo-Jun Qi","Charu C. Aggarwal"
"Jian-Tao Sun","Qiang Yang 0001"
"Donald Metzler","W. Bruce Croft"
"Jianchao Yang","Thomas S. Huang"
"Quoc V. Le","Andrew Y. Ng"
"Nicolas Bruno","Surajit Chaudhuri"
"Falk Scholer","Mark Sanderson"
"Xingquan Zhu","Xindong Wu"
"Nick Koudas","Divesh Srivastava"
"Laurent El Ghaoui","Michael I. Jordan"
"Liu Yang","Rong Jin"
"Qi Liu","Hui Xiong"
"Graham W. Taylor","Geoffrey E. Hinton"
"Andriy Mnih","Geoffrey E. Hinton"
"Hongning Wang","ChengXiang Zhai"
"Zhong Su","Jie Tang"
"Chee Yong Chan","Kian-Lee Tan"
"Mathieu Salzmann","Pascal Fua"
"Praveen Seshadri","Raghu Ramakrishnan"
"Bo Zhao","Jing Gao"
"Marian Stewart Bartlett","Terrence J. Sejnowski"
"Taiji Suzuki","Masashi Sugiyama"
"Angela J. Yu","Peter Dayan"
"Yang Zhou","Ling Liu"
"Lu Qin","Xuemin Lin"
"Prabhakar Raghavan","Ravi Kumar"
"Zhifeng Hao","Longbing Cao"
"Matthew Richardson","Pedro M. Domingos"
"Jiang Bian","Tie-Yan Liu"
"David Sontag","Tommi S. Jaakkola"
"Jeffrey Ho","Ming-Hsuan Yang"
"Bill Howe","Dan Suciu"
"Jeffrey Ho","David J. Kriegman"
"Ya Zhang","Olivier Chapelle"
"Xiuzhen Zhang","Guozhu Dong"
"Letizia Tanca","Stefano Ceri"
"David Sontag","Amir Globerson"
"Hong-Jiang Zhang","Yong Rui"
"Bo Zhao","Qi Li"
"Boon Thau Loo","Zachary G. Ives"
"Ad Feelders","Arno J. Knobbe"
"Alexandros Nanopoulos","Yannis Manolopoulos"
"Jiaheng Lu","Tok Wang Ling"
"Alexander Hinneburg","Daniel A. Keim"
"Kush R. Varshney","Jun Wang 0006"
"Gang Chen","Yunjun Gao"
"Michail Vlachos","Philip S. Yu"
"Gunnar Rätsch","Klaus-Robert Müller"
"Jun Zhu","Eric P. Xing"
"Spiros Papadimitriou","Philip S. Yu"
"Mario Fritz","Trevor Darrell"
"Ilya Sutskever","Geoffrey E. Hinton"
"François Fleuret","Pascal Fua"
"Alexandre Pouget","Terrence J. Sejnowski"
"Frédéric Jurie","Cordelia Schmid"
"Piotr Dollár","Serge J. Belongie"
"Kaizhu Huang","Michael R. Lyu"
"Daxin Jiang","Aidong Zhang"
"Zi Huang","Xiaofang Zhou"
"Kaizhu Huang","Irwin King"
"Guimei Liu","Jinyan Li"
"Xiaoyang Sean Wang","Sushil Jajodia"
"Panagiotis G. Ipeirotis","Luis Gravano"
"Zicheng Liu","Zhengyou Zhang"
"Sethu Vijayakumar","Stefan Schaal"
"Aixin Sun","Ee-Peng Lim"
"De-Nian Yang","Philip S. Yu"
"John C. Duchi","Michael I. Jordan"
"Abhinav Gupta","Larry S. Davis"
"Qi He","Ee-Peng Lim"
"George Kollios","Dimitrios Gunopulos"
"Xinhua Zhang","Dale Schuurmans"
"Christian Theobalt","Sebastian Thrun"
"Feng Chen","Naren Ramakrishnan"
"Xiao Yu","Yizhou Sun"
"Stefanie Jegelka","Jeff A. Bilmes"
"Lijun Zhang 0005","Tianbao Yang"
"Marc Sebban","Richard Nock"
"Zhengdong Lu","Miguel Á. Carreira-Perpiñán"
"Charu C. Aggarwal","Philip S. Yu"
"Hao Wang","Xindong Wu"
"Vivekanand Gopalkrishnan","Steven C. H. Hoi"
"Ce Liu","William T. Freeman"
"Ada Wai-Chee Fu","Ke Wang"
"Honglak Lee","Andrew Y. Ng"
"Fei Sha","Kristen Grauman"
"James Bailey","Kotagiri Ramamohanarao"
"Xin Jin","Jiawei Han"
"Partha Pratim Talukdar","Christos Faloutsos"
"Percy Liang","Michael I. Jordan"
"Yuchen Zhang","Michael I. Jordan"
"Zheng Chen","Qiang Yang 0001"
"Jing Gao","Wei Fan"
"Xiaotong Yuan","Shuicheng Yan"
"Xiaobai Liu","Shuicheng Yan"
"Lei Li","Tao Li"
"Enhong Chen","Hui Xiong"
"Fuzhen Zhuang","Hui Xiong"
"Gabriel Pui Cheong Fung","Huan Liu"
"Shakir Mohamed","Zoubin Ghahramani"
"Christopher D. Manning","Andrew Y. Ng"
"Stephen J. Maybank","Xindong Wu"
"Hady Wirawan Lauw","Ke Wang"
"Huan Xu","Shie Mannor"
"Constantine Caramanis","Shie Mannor"
"Eyal Even-Dar","Shie Mannor"
"Katja Hofmann","Maarten de Rijke"
"Alexander T. Ihler","Padhraic Smyth"
"Yang Yang","Jie Tang"
"Jun Gao","Jeffrey Xu Yu"
"Yanghua Xiao","Haixun Wang"
"Xiaobai Liu","Alan L. Yuille"
"Gianmarco De Francisci Morales","Aristides Gionis"
"Raghav Kaushik","Surajit Chaudhuri"
"Ravishankar Ramamurthy","Surajit Chaudhuri"
"Bastian Leibe","Luc J. Van Gool"
"Jeffrey F. Cohn","Takeo Kanade"
"Yevgeny Seldin","Peter L. Bartlett"
"Slobodan Ilic","Pascal Fua"
"Laura M. Haas","Michael J. Carey"
"Eugene J. Shekita","Michael J. Carey"
"Vijayalakshmi Atluri","Elisa Bertino"
"Benyu Zhang","Wei-Ying Ma"
"Yaser Sheikh","Mubarak Shah"
"Vinayak Rao","Lawrence Carin"
"Geoff Holmes","Thomas Seidl 0001"
"Nan Du","Jing Gao"
"David M. Pennock","C. Lee Giles"
"Shohei Hido","Masashi Sugiyama"
"Bo Dai","Masashi Sugiyama"
"Christopher Zach","Marc Pollefeys"
"Eric Brill","Susan T. Dumais"
"Patrice Bellot","Mark Sanderson"
"J. Shane Culpepper","Mark Sanderson"
"Lihong Li","John Langford"
"Bianca Zadrozny","John Langford"
"Karol Gregor","Yann LeCun"
"Jie Yin","Xingquan Zhu"
"Dan He","Xingquan Zhu"
"Srujana Merugu","Arindam Banerjee"
"Fang Liu","Clement T. Yu"
"Sen Wu","Jimeng Sun"
"Jordan L. Boyd-Graber","David M. Blei"
"Ralph Neuneier","Volker Tresp"
"Sivan Sabato","Shai Shalev-Shwartz"
"Yevgeny Seldin","Naftali Tishby"
"Vassilis Plachouras","Iadh Ounis"
"Weili Wu","Shashi Shekhar"
"Silvio Lattanzi","Ravi Kumar"
"Yuanqing Lin","Kai Yu"
"Meng Fang","Dacheng Tao"
"Minsu Cho","Jean Ponce"
"Armand Joulin","Jean Ponce"
"Hong Chang","Dit-Yan Yeung"
"Ali Farhadi","David A. Forsyth"
"Vassilis Plachouras","Ricardo A. Baeza-Yates"
"Gilles Stoltz","Nicolò Cesa-Bianchi"
"Yuanqing Lin","Shenghuo Zhu"
"Mary F. Fernández","Dan Suciu"
"Weili Wu","Sanjay Chawla"
"Ameet Talwalkar","Mehryar Mohri"
"Manuel Gomez-Rodriguez","Le Song"
"Bo Dai","Le Song"
"Ian Ruthven","Joemon M. Jose"
"Robert Villa","Joemon M. Jose"
"Gabriel Pui Cheong Fung","Hongjun Lu"
"Nan Du","Aidong Zhang"
"Neel Joshi","Richard Szeliski"
"Luis E. Ortiz","Michael J. Kearns"
"Nan Tang 0001","Ahmed K. Elmagarmid"
"Neel Joshi","Sing Bing Kang"
"Antonios Deligiannakis","Minos N. Garofalakis"
"Bin Yu 0001","Martin J. Wainwright"
"Kai Zhang","James T. Kwok"
"Yu Chen","Ji-Rong Wen"
"Quan Yuan","Gao Cong"
"Jongwoo Lim","David J. Kriegman"
"Jianxin Wu","James M. Rehg"
"Hongdong Li","Richard I. Hartley"
"Noah Snavely","Steven M. Seitz"
"Li Zhang 0003","Steven M. Seitz"
"Evgeniy Gabrilovich","Vanja Josifovski"
"Emily B. Fox","Erik B. Sudderth"
"Matthijs van Leeuwen","Arno Siebes"
"Claudia Niederée","Themis Palpanas"
"Hua Lu","Man Lung Yiu"
"Vitor R. Carvalho","Emine Yilmaz"
"Chen Wang","Wei Wang 0009"
"Partha Pratim Talukdar","Tom M. Mitchell"
"Adam R. Klivans","Rocco A. Servedio"
"Colin Campbell","Nello Cristianini"
"Lei Yuan","Jun Liu"
"Vijayalakshmi Atluri","Sushil Jajodia"
"Boris Cule","Nikolaj Tatti"
