Student,Advisor
"Anoop Korattikara Balan","Max Welling"
"Amit Goyal 0002","Laks V. S. Lakshmanan"
"Marcus Held","Joachim M. Buhmann"
"Yukino Baba","Hisashi Kashima"
"Yuta Tsuboi","Hisashi Kashima"
"Bangpeng Yao","Fei-Fei Li"
"Vignesh Ramanathan","Fei-Fei Li"
"Jonathan Krause","Fei-Fei Li"
"Hao Su","Fei-Fei Li"
"Vatche Ishakian","Evimaria Terzi"
"Adarsh Kowdle","Tsuhan Chen"
"Amir Sadovnik","Tsuhan Chen"
"Zhaoyin Jia","Tsuhan Chen"
"Yimeng Zhang","Tsuhan Chen"
"Karlton Sequeira","Mohammed Javeed Zaki"
"Karam Gouda","Mohammed Javeed Zaki"
"Silvia Zuffi","Michael J. Black"
"Alexandru O. Balan","Michael J. Black"
"Mykhaylo Andriluka","Bernt Schiele"
"Leonid Pishchulin","Bernt Schiele"
"Stefan Walk","Bernt Schiele"
"Edgar Seemann","Bernt Schiele"
"Bojan Pepik","Bernt Schiele"
"Siddharth Gopal","Yiming Yang"
"Bryan Kisiel","Yiming Yang"
"Abhimanyu Lad","Yiming Yang"
"Thomas Pierce","Yiming Yang"
"Dong Yi","Stan Z. Li"
"Longyin Wen","Stan Z. Li"
"Xiangyu Zhu","Stan Z. Li"
"Pei Sun","Sanjay Chawla"
"Bavani Arunasalam","Sanjay Chawla"
"Uygar Ozesmi","Sanjay Chawla"
"Ning Ruan","Ruoming Jin"
"Victor E. Lee","Ruoming Jin"
"Yelong Shen","Ruoming Jin"
"David Fuhry","Ruoming Jin"
"Shalabh Bhatnagar","Richard S. Sutton"
"Hamid Reza Maei","Richard S. Sutton"
"Anna Koop","Richard S. Sutton"
"Tuyen N. Huynh","Raymond J. Mooney"
"Dirk Ourston","Raymond J. Mooney"
"Haiqin Yang","Michael R. Lyu"
"Vitaly Kuznetsov","Mehryar Mohri"
"Andres Muñoz Medina","Mehryar Mohri"
"Minjie Xu","Jun Zhu"
"Matthew R. Boutell","Jiebo Luo"
"Jochen Braun","Christof Koch"
"Amit Manwani","Christof Koch"
"Zhaoyan Ming","Tat-Seng Chua"
"Liqiang Nie","Tat-Seng Chua"
"Mohammad Akbari","Tat-Seng Chua"
"Renxu Sun","Tat-Seng Chua"
"Rizwan Chaudhry","René Vidal"
"Ehsan Elhamifar","René Vidal"
"Alvina Goh","René Vidal"
"David A. Cieslak","Nitesh V. Chawla"
"T. Ryan Hoens","Nitesh V. Chawla"
"Reid A. Johnson","Nitesh V. Chawla"
"Michael J. Cole","Nicholas J. Belkin"
"Xiao-Jun Yuan","Nicholas J. Belkin"
"Orestis Polychroniou","Kenneth A. Ross"
